Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","98","Croatia","5510","Production","979","Fat, sheep","2018","2018","tonnes","252.96","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","919","Hides, cattle, fresh","2014","2014","tonnes","8358","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","919","Hides, cattle, fresh","2015","2015","tonnes","7925","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","919","Hides, cattle, fresh","2016","2016","tonnes","8436","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","919","Hides, cattle, fresh","2017","2017","tonnes","8031","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","919","Hides, cattle, fresh","2018","2018","tonnes","8260","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1182","Honey, natural","2014","2014","tonnes","6269","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1182","Honey, natural","2015","2015","tonnes","11477","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1182","Honey, natural","2016","2016","tonnes","8677","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1182","Honey, natural","2017","2017","tonnes","8128","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1182","Honey, natural","2018","2018","tonnes","8727","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1166","Meat nes","2014","2014","tonnes","115","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1166","Meat nes","2015","2015","tonnes","120","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1166","Meat nes","2016","2016","tonnes","117","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1166","Meat nes","2017","2017","tonnes","120","F","FAO estimate"
"QL","Livestock Primary","98","Croatia","5510","Production","1166","Meat nes","2018","2018","tonnes","120","F","FAO estimate"
