DomainCode;Domain;AreaCode;Country;Element Code;Element;ItemCode;Item;LivestockType;Year;Unit;Production_tonnes;Flag;Flag Description
QL;Livestock Primary;146;Republic of Moldova;5510;Production;1062;Eggs, hen, in shell;Chickens;2014;tonnes;83000;Fc;Calculated data
QL;Livestock Primary;146;Republic of Moldova;5510;Production;1062;Eggs, hen, in shell;Chickens;2015;tonnes;60000;Fc;Calculated data
QL;Livestock Primary;146;Republic of Moldova;5510;Production;1062;Eggs, hen, in shell;Chickens;2016;tonnes;126100;Fc;Calculated data
QL;Livestock Primary;146;Republic of Moldova;5510;Production;1062;Eggs, hen, in shell;Chickens;2017;tonnes;124100;Fc;Calculated data
QL;Livestock Primary;183;Romania;5510;Production;1062;Eggs, hen, in shell;Chickens;2014;tonnes;83969;Fc;Calculated data
QL;Livestock Primary;183;Romania;5510;Production;1062;Eggs, hen, in shell;Chickens;2015;tonnes;86055;Fc;Calculated data
QL;Livestock Primary;183;Romania;5510;Production;1062;Eggs, hen, in shell;Chickens;2016;tonnes;81736;Fc;Calculated data
QL;Livestock Primary;183;Romania;5510;Production;1062;Eggs, hen, in shell;Chickens;2017;tonnes;81308;Fc;Calculated data
QL;Livestock Primary;272;Serbia;5510;Production;1062;Eggs, hen, in shell;Chickens;2014;tonnes;23000;Fc;Calculated data
QL;Livestock Primary;272;Serbia;5510;Production;1062;Eggs, hen, in shell;Chickens;2015;tonnes;17000;Fc;Calculated data
QL;Livestock Primary;272;Serbia;5510;Production;1062;Eggs, hen, in shell;Chickens;2016;tonnes;13000;Fc;Calculated data
QL;Livestock Primary;272;Serbia;5510;Production;1062;Eggs, hen, in shell;Chickens;2017;tonnes;19000;Fc;Calculated data
QL;Livestock Primary;199;Slovakia;5510;Production;1062;Eggs, hen, in shell;Chickens;2014;tonnes;29890;Fc;Calculated data
QL;Livestock Primary;199;Slovakia;5510;Production;1062;Eggs, hen, in shell;Chickens;2015;tonnes;35946;Fc;Calculated data
QL;Livestock Primary;199;Slovakia;5510;Production;1062;Eggs, hen, in shell;Chickens;2016;tonnes;42026;Fc;Calculated data
QL;Livestock Primary;199;Slovakia;5510;Production;1062;Eggs, hen, in shell;Chickens;2017;tonnes;40577;Fc;Calculated data
QL;Livestock Primary;198;Slovenia;5510;Production;1062;Eggs, hen, in shell;Chickens;2014;tonnes;567282;Fc;Calculated data
QL;Livestock Primary;198;Slovenia;5510;Production;1062;Eggs, hen, in shell;Chickens;2015;tonnes;561410;Fc;Calculated data
QL;Livestock Primary;198;Slovenia;5510;Production;1062;Eggs, hen, in shell;Chickens;2016;tonnes;552534;Fc;Calculated data
QL;Livestock Primary;198;Slovenia;5510;Production;1062;Eggs, hen, in shell;Chickens;2017;tonnes;555000;Im;FAO data based on imputation methodology
QL;Livestock Primary;230;Ukraine;5510;Production;1062;Eggs, hen, in shell;Chickens;2014;tonnes;6658782;Fc;Calculated data
QL;Livestock Primary;230;Ukraine;5510;Production;1062;Eggs, hen, in shell;Chickens;2015;tonnes;6925276;Fc;Calculated data
QL;Livestock Primary;230;Ukraine;5510;Production;1062;Eggs, hen, in shell;Chickens;2016;tonnes;7128324;Fc;Calculated data
QL;Livestock Primary;230;Ukraine;5510;Production;1062;Eggs, hen, in shell;Chickens;2017;tonnes;7649700;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5510;Production;1091;Eggs, other bird, in shell;Other bird;2014;tonnes;735;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5510;Production;1091;Eggs, other bird, in shell;Other bird;2015;tonnes;698;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5510;Production;1091;Eggs, other bird, in shell;Other bird;2016;tonnes;710;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5510;Production;1091;Eggs, other bird, in shell;Other bird;2017;tonnes;715;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5510;Production;1091;Eggs, other bird, in shell;Other bird;2014;tonnes;682;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5510;Production;1091;Eggs, other bird, in shell;Other bird;2015;tonnes;664;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5510;Production;1091;Eggs, other bird, in shell;Other bird;2016;tonnes;669;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5510;Production;1091;Eggs, other bird, in shell;Other bird;2017;tonnes;676;Im;FAO data based on imputation methodology
QL;Livestock Primary;97;Hungary;5510;Production;1091;Eggs, other bird, in shell;Other bird;2014;tonnes;702;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5510;Production;1091;Eggs, other bird, in shell;Other bird;2015;tonnes;671;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5510;Production;1091;Eggs, other bird, in shell;Other bird;2016;tonnes;672;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5510;Production;1091;Eggs, other bird, in shell;Other bird;2017;tonnes;675;Fc;Calculated data
QL;Livestock Primary;146;Republic of Moldova;5510;Production;1091;Eggs, other bird, in shell;Other bird;2014;tonnes;890;;Official data
QL;Livestock Primary;146;Republic of Moldova;5510;Production;1091;Eggs, other bird, in shell;Other bird;2015;tonnes;906;;Official data
QL;Livestock Primary;146;Republic of Moldova;5510;Production;1091;Eggs, other bird, in shell;Other bird;2016;tonnes;906;;Official data
QL;Livestock Primary;146;Republic of Moldova;5510;Production;1091;Eggs, other bird, in shell;Other bird;2017;tonnes;900;;Official data
QL;Livestock Primary;183;Romania;5510;Production;1091;Eggs, other bird, in shell;Other bird;2014;tonnes;938;;Official data
QL;Livestock Primary;183;Romania;5510;Production;1091;Eggs, other bird, in shell;Other bird;2015;tonnes;937;;Official data
QL;Livestock Primary;183;Romania;5510;Production;1091;Eggs, other bird, in shell;Other bird;2016;tonnes;940;;Official data
QL;Livestock Primary;183;Romania;5510;Production;1091;Eggs, other bird, in shell;Other bird;2017;tonnes;943;;Official data
QL;Livestock Primary;230;Ukraine;5510;Production;1091;Eggs, other bird, in shell;Other bird;2014;tonnes;927;;Official data
QL;Livestock Primary;230;Ukraine;5510;Production;1091;Eggs, other bird, in shell;Other bird;2015;tonnes;940;;Official data
QL;Livestock Primary;230;Ukraine;5510;Production;1091;Eggs, other bird, in shell;Other bird;2016;tonnes;933;;Official data
QL;Livestock Primary;230;Ukraine;5510;Production;1091;Eggs, other bird, in shell;Other bird;2017;tonnes;930;;Official data
QL;Livestock Primary;11;Austria;5510;Production;1182;Honey, natural;Beehives;2014;tonnes;33688;;Official data
QL;Livestock Primary;11;Austria;5510;Production;1182;Honey, natural;Beehives;2015;tonnes;31969;;Official data
QL;Livestock Primary;11;Austria;5510;Production;1182;Honey, natural;Beehives;2016;tonnes;38995;;Official data
QL;Livestock Primary;11;Austria;5510;Production;1182;Honey, natural;Beehives;2017;tonnes;39289;F;FAO estimate
QL;Livestock Primary;80;Bosnia and Herzegovina;5510;Production;1182;Honey, natural;Beehives;2014;tonnes;14000;Im;FAO data based on imputation methodology
QL;Livestock Primary;80;Bosnia and Herzegovina;5510;Production;1182;Honey, natural;Beehives;2015;tonnes;13000;Im;FAO data based on imputation methodology
QL;Livestock Primary;80;Bosnia and Herzegovina;5510;Production;1182;Honey, natural;Beehives;2016;tonnes;13000;Im;FAO data based on imputation methodology
QL;Livestock Primary;80;Bosnia and Herzegovina;5510;Production;1182;Honey, natural;Beehives;2017;tonnes;15000;Im;FAO data based on imputation methodology
QL;Livestock Primary;27;Bulgaria;5510;Production;1182;Honey, natural;Beehives;2014;tonnes;62349;;Official data
QL;Livestock Primary;27;Bulgaria;5510;Production;1182;Honey, natural;Beehives;2015;tonnes;62349;;Official data
QL;Livestock Primary;27;Bulgaria;5510;Production;1182;Honey, natural;Beehives;2016;tonnes;29452;;Official data
QL;Livestock Primary;27;Bulgaria;5510;Production;1182;Honey, natural;Beehives;2017;tonnes;29452;;Official data
QL;Livestock Primary;98;Croatia;5510;Production;1182;Honey, natural;Beehives;2014;tonnes;105799;;Official data
QL;Livestock Primary;98;Croatia;5510;Production;1182;Honey, natural;Beehives;2015;tonnes;109648;;Official data
QL;Livestock Primary;98;Croatia;5510;Production;1182;Honey, natural;Beehives;2016;tonnes;111569;;Official data
QL;Livestock Primary;98;Croatia;5510;Production;1182;Honey, natural;Beehives;2017;tonnes;112000;;Official data
QL;Livestock Primary;167;Czechia;5510;Production;1182;Honey, natural;Beehives;2014;tonnes;125925;;Official data
QL;Livestock Primary;167;Czechia;5510;Production;1182;Honey, natural;Beehives;2015;tonnes;124338;;Official data
QL;Livestock Primary;167;Czechia;5510;Production;1182;Honey, natural;Beehives;2016;tonnes;112344;;Official data
QL;Livestock Primary;167;Czechia;5510;Production;1182;Honey, natural;Beehives;2017;tonnes;102871;F;FAO estimate
QL;Livestock Primary;79;Germany;5510;Production;1182;Honey, natural;Beehives;2014;tonnes;26146;;Official data
QL;Livestock Primary;79;Germany;5510;Production;1182;Honey, natural;Beehives;2015;tonnes;25811;;Official data
QL;Livestock Primary;79;Germany;5510;Production;1182;Honey, natural;Beehives;2016;tonnes;26945;;Official data
QL;Livestock Primary;79;Germany;5510;Production;1182;Honey, natural;Beehives;2017;tonnes;26687;;Official data
QL;Livestock Primary;97;Hungary;5510;Production;1182;Honey, natural;Beehives;2014;tonnes;3188;;Official data
QL;Livestock Primary;97;Hungary;5510;Production;1182;Honey, natural;Beehives;2015;tonnes;3992;;Official data
QL;Livestock Primary;97;Hungary;5510;Production;1182;Honey, natural;Beehives;2016;tonnes;4467;;Official data
QL;Livestock Primary;97;Hungary;5510;Production;1182;Honey, natural;Beehives;2017;tonnes;3388;;Official data
QL;Livestock Primary;173;Poland;5510;Production;1182;Honey, natural;Beehives;2014;tonnes;482500;;Official data
QL;Livestock Primary;173;Poland;5510;Production;1182;Honey, natural;Beehives;2015;tonnes;453300;;Official data
QL;Livestock Primary;173;Poland;5510;Production;1182;Honey, natural;Beehives;2016;tonnes;455600;;Official data
QL;Livestock Primary;173;Poland;5510;Production;1182;Honey, natural;Beehives;2017;tonnes;446600;;Official data
QL;Livestock Primary;146;Republic of Moldova;5510;Production;1182;Honey, natural;Beehives;2014;tonnes;943;Fc;Calculated data
QL;Livestock Primary;146;Republic of Moldova;5510;Production;1182;Honey, natural;Beehives;2015;tonnes;783;Fc;Calculated data
QL;Livestock Primary;146;Republic of Moldova;5510;Production;1182;Honey, natural;Beehives;2016;tonnes;602;Fc;Calculated data
QL;Livestock Primary;146;Republic of Moldova;5510;Production;1182;Honey, natural;Beehives;2017;tonnes;546;Fc;Calculated data
QL;Livestock Primary;183;Romania;5510;Production;1182;Honey, natural;Beehives;2014;tonnes;25;Fc;Calculated data
QL;Livestock Primary;183;Romania;5510;Production;1182;Honey, natural;Beehives;2015;tonnes;31;Fc;Calculated data
QL;Livestock Primary;183;Romania;5510;Production;1182;Honey, natural;Beehives;2016;tonnes;24;Fc;Calculated data
