Country;Element;Item Code;Item;Year;Unit;Applied_fertilizer_cropland_kg_per_ha;Flag;data_quality
Poland;Use per area of cropland;3102;Nutrient nitrogen N (total);2011;kg/ha;95.29;Fc;Calculated data
Poland;Use per area of cropland;3102;Nutrient nitrogen N (total);2012;kg/ha;104.13;Fc;Calculated data
Poland;Use per area of cropland;3102;Nutrient nitrogen N (total);2013;kg/ha;98.04;Fc;Calculated data
Poland;Use per area of cropland;3102;Nutrient nitrogen N (total);2014;kg/ha;88.78;Fc;Calculated data
Poland;Use per area of cropland;3102;Nutrient nitrogen N (total);2015;kg/ha;92.48;Fc;Calculated data
Poland;Use per area of cropland;3102;Nutrient nitrogen N (total);2016;kg/ha;92.91;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3102;Nutrient nitrogen N (total);2010;kg/ha;7.74;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3102;Nutrient nitrogen N (total);2011;kg/ha;9.1;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3102;Nutrient nitrogen N (total);2012;kg/ha;12.75;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3102;Nutrient nitrogen N (total);2013;kg/ha;16.11;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3102;Nutrient nitrogen N (total);2014;kg/ha;24.66;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3102;Nutrient nitrogen N (total);2015;kg/ha;14.06;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3102;Nutrient nitrogen N (total);2016;kg/ha;15.6;Fc;Calculated data
Romania;Use per area of cropland;3102;Nutrient nitrogen N (total);2010;kg/ha;31.82;Fc;Calculated data
Romania;Use per area of cropland;3102;Nutrient nitrogen N (total);2011;kg/ha;33.2;Fc;Calculated data
Romania;Use per area of cropland;3102;Nutrient nitrogen N (total);2012;kg/ha;31.37;Fc;Calculated data
Romania;Use per area of cropland;3102;Nutrient nitrogen N (total);2013;kg/ha;37.49;Fc;Calculated data
Romania;Use per area of cropland;3102;Nutrient nitrogen N (total);2014;kg/ha;32.99;Fc;Calculated data
Romania;Use per area of cropland;3102;Nutrient nitrogen N (total);2015;kg/ha;38.83;Fc;Calculated data
Romania;Use per area of cropland;3102;Nutrient nitrogen N (total);2016;kg/ha;38.26;Fc;Calculated data
Serbia;Use per area of cropland;3102;Nutrient nitrogen N (total);2010;kg/ha;75.04;Fc;Calculated data
Serbia;Use per area of cropland;3102;Nutrient nitrogen N (total);2011;kg/ha;85.88;Fc;Calculated data
Serbia;Use per area of cropland;3102;Nutrient nitrogen N (total);2012;kg/ha;121.48;Fc;Calculated data
Serbia;Use per area of cropland;3102;Nutrient nitrogen N (total);2013;kg/ha;112.94;Fc;Calculated data
Serbia;Use per area of cropland;3102;Nutrient nitrogen N (total);2014;kg/ha;89.77;Fc;Calculated data
Serbia;Use per area of cropland;3102;Nutrient nitrogen N (total);2015;kg/ha;96.92;Fc;Calculated data
Serbia;Use per area of cropland;3102;Nutrient nitrogen N (total);2016;kg/ha;111.74;Fc;Calculated data
Slovakia;Use per area of cropland;3102;Nutrient nitrogen N (total);2010;kg/ha;65.59;Fc;Calculated data
Slovakia;Use per area of cropland;3102;Nutrient nitrogen N (total);2011;kg/ha;71.56;Fc;Calculated data
Slovakia;Use per area of cropland;3102;Nutrient nitrogen N (total);2012;kg/ha;80.41;Fc;Calculated data
Slovakia;Use per area of cropland;3102;Nutrient nitrogen N (total);2013;kg/ha;82.16;Fc;Calculated data
Slovakia;Use per area of cropland;3102;Nutrient nitrogen N (total);2014;kg/ha;86.38;Fc;Calculated data
Slovakia;Use per area of cropland;3102;Nutrient nitrogen N (total);2015;kg/ha;83.9;Fc;Calculated data
Slovakia;Use per area of cropland;3102;Nutrient nitrogen N (total);2016;kg/ha;92.48;Fc;Calculated data
Slovenia;Use per area of cropland;3102;Nutrient nitrogen N (total);2010;kg/ha;115.64;Fc;Calculated data
Slovenia;Use per area of cropland;3102;Nutrient nitrogen N (total);2011;kg/ha;113.97;Fc;Calculated data
Slovenia;Use per area of cropland;3102;Nutrient nitrogen N (total);2012;kg/ha;111.6;Fc;Calculated data
Slovenia;Use per area of cropland;3102;Nutrient nitrogen N (total);2013;kg/ha;114.9;Fc;Calculated data
Slovenia;Use per area of cropland;3102;Nutrient nitrogen N (total);2014;kg/ha;120.67;Fc;Calculated data
Slovenia;Use per area of cropland;3102;Nutrient nitrogen N (total);2015;kg/ha;119.32;Fc;Calculated data
Slovenia;Use per area of cropland;3102;Nutrient nitrogen N (total);2016;kg/ha;113.99;Fc;Calculated data
Switzerland;Use per area of cropland;3102;Nutrient nitrogen N (total);2010;kg/ha;118.62;Fc;Calculated data
Switzerland;Use per area of cropland;3102;Nutrient nitrogen N (total);2011;kg/ha;108.76;Fc;Calculated data
Switzerland;Use per area of cropland;3102;Nutrient nitrogen N (total);2012;kg/ha;91.89;Fc;Calculated data
Switzerland;Use per area of cropland;3102;Nutrient nitrogen N (total);2013;kg/ha;114.22;Fc;Calculated data
Switzerland;Use per area of cropland;3102;Nutrient nitrogen N (total);2014;kg/ha;115.66;Fc;Calculated data
Switzerland;Use per area of cropland;3102;Nutrient nitrogen N (total);2015;kg/ha;117.51;Fc;Calculated data
Switzerland;Use per area of cropland;3102;Nutrient nitrogen N (total);2016;kg/ha;124.86;Fc;Calculated data
Ukraine;Use per area of cropland;3102;Nutrient nitrogen N (total);2010;kg/ha;23.21;Fc;Calculated data
