Country;Element;Item Code;Item;Year;Unit;Applied_fertilizer_cropland_kg_per_ha;Flag;data_quality
Hungary;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;15.79;Fc;Calculated data
Hungary;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;17.31;Fc;Calculated data
Hungary;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;17.81;Fc;Calculated data
Hungary;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;21.53;Fc;Calculated data
Montenegro;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;2.78;Fc;Calculated data
Montenegro;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;2.67;Fc;Calculated data
Montenegro;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;2.12;Fc;Calculated data
Montenegro;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;42.26;Fc;Calculated data
Montenegro;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;39.39;Fc;Calculated data
Montenegro;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;35.34;Fc;Calculated data
Montenegro;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;44.45;Fc;Calculated data
Poland;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;40.55;Fc;Calculated data
Poland;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;36.41;Fc;Calculated data
Poland;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;34.46;Fc;Calculated data
Poland;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;44.25;Fc;Calculated data
Poland;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;42.91;Fc;Calculated data
Poland;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;46.68;Fc;Calculated data
Poland;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;44.98;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;0.62;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;0.7;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;1.04;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;1.18;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;1.52;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;0.99;Fc;Calculated data
Republic of Moldova;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;1.38;Fc;Calculated data
Romania;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;5.36;Fc;Calculated data
Romania;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;5.02;Fc;Calculated data
Romania;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;3.78;Fc;Calculated data
Romania;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;3.65;Fc;Calculated data
Romania;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;3.27;Fc;Calculated data
Romania;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;4.64;Fc;Calculated data
Romania;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;4.85;Fc;Calculated data
Serbia;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;34.01;Fc;Calculated data
Serbia;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;28.11;Fc;Calculated data
Serbia;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;33.43;Fc;Calculated data
Serbia;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;27.74;Fc;Calculated data
Serbia;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;32.04;Fc;Calculated data
Serbia;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;24.09;Fc;Calculated data
Serbia;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;31.61;Fc;Calculated data
Slovakia;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;7.27;Fc;Calculated data
Slovakia;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;9.42;Fc;Calculated data
Slovakia;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;10.45;Fc;Calculated data
Slovakia;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;10.68;Fc;Calculated data
Slovakia;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;12.02;Fc;Calculated data
Slovakia;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;11.83;Fc;Calculated data
Slovakia;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;13.82;Fc;Calculated data
Slovenia;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;51.11;Fc;Calculated data
Slovenia;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;47.18;Fc;Calculated data
Slovenia;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;45.84;Fc;Calculated data
Slovenia;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;45.69;Fc;Calculated data
Slovenia;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;44.97;Fc;Calculated data
Slovenia;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;48.55;Fc;Calculated data
Slovenia;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;47.77;Fc;Calculated data
Switzerland;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;50.17;Fc;Calculated data
Switzerland;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;50.22;Fc;Calculated data
Switzerland;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;37.02;Fc;Calculated data
Switzerland;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;42.53;Fc;Calculated data
Switzerland;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;46.97;Fc;Calculated data
Switzerland;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;44.84;Fc;Calculated data
Switzerland;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;42.41;Fc;Calculated data
Ukraine;Use per area of cropland;3104;Nutrient potash K2O (total);2010;kg/ha;3.85;Fc;Calculated data
Ukraine;Use per area of cropland;3104;Nutrient potash K2O (total);2011;kg/ha;5.07;Fc;Calculated data
Ukraine;Use per area of cropland;3104;Nutrient potash K2O (total);2012;kg/ha;5.84;Fc;Calculated data
Ukraine;Use per area of cropland;3104;Nutrient potash K2O (total);2013;kg/ha;6.35;Fc;Calculated data
Ukraine;Use per area of cropland;3104;Nutrient potash K2O (total);2014;kg/ha;6.22;Fc;Calculated data
Ukraine;Use per area of cropland;3104;Nutrient potash K2O (total);2015;kg/ha;6.14;Fc;Calculated data
Ukraine;Use per area of cropland;3104;Nutrient potash K2O (total);2016;kg/ha;7.26;Fc;Calculated data
