Animals;Animal_description;Unit;NUTS2;THS_HD_2007;THS_HD_2008;THS_HD_2009;THS_HD_2010;THS_HD_2011;THS_HD_2012;THS_HD_2013;THS_HD_2014;THS_HD_2015;THS_HD_2016;THS_HD_2017;THS_HD_2018;data_quality_2007;data_quality_2008;data_quality_2009;data_quality_2010;data_quality_2011;data_quality_2012;data_quality_2013;data_quality_2014;data_quality_2015;data_quality_2016;data_quality_2017;data_quality_2018
A4100;sheep;THS_HD;PL63;12.9;11.56;10.04;11.32;12.64;13.08;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL63;NaN;4.13;3.86;4.1;2.3;2.85;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL71;433.2;458.02;477.87;486.87;459.04;440.25;427.74;446.81;450.54;473.2;465;475.3;;;;;;;revised;;;;;
A2300F;dairy cows;THS_HD;PL71;238.3;229.5;224.01;224.92;216.02;195.51;185.04;187.53;175.35;178.7;178.1;175.4;;;;;;;;;;;;
A3100;pigs;THS_HD;PL71;1297.1;1038.38;1197.39;1284.92;1139.57;993.22;925.26;982.95;903.83;1119.8;1188.8;1110.8;;;;;;;;;;;;
A4100;sheep;THS_HD;PL71;21.9;19.89;17.37;15.39;12.98;12.42;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL71;NaN;8.55;7.51;7.27;5.22;5.15;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL72;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;157;153.4;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;PL72;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;48.7;48.7;;;;;;;;;;;;
A3100;pigs;THS_HD;PL72;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;232.3;198.6;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL81;370.6;396.57;369.22;345.85;351.37;361.68;361.48;346.01;362.8;371.8;361.7;378.3;;;;;;;revised;;;;;
A2300F;dairy cows;THS_HD;PL81;197;205.24;182.48;165.81;162.65;158.07;149.91;140.11;128.16;126.5;128.4;124.4;;;;;;;;;;;;
A3100;pigs;THS_HD;PL81;1156.3;956.7;944.75;966.87;794.49;596.76;597.8;579.42;523.5;550.2;587.6;447;;;;;;;;;;;;
A4100;sheep;THS_HD;PL81;21.7;15.99;12.11;12.88;12.89;14.59;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL81;NaN;11.9;8.94;8.57;12.98;9.05;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL82;137.6;130.45;113.36;106.71;96.95;90.17;92.5;89.11;89.33;84.4;80.5;76.1;;;;;;;revised;;;;;
A2300F;dairy cows;THS_HD;PL82;95.2;89.86;77.46;72.06;64.28;58.14;57.18;54.19;48.69;45.3;42.6;40.1;;;;;;;;;;;;
A3100;pigs;THS_HD;PL82;299.8;257.99;235.44;220.03;183.56;179.27;170.23;176.07;159.71;166.8;161.7;134.4;;;;;;;;;;;;
A4100;sheep;THS_HD;PL82;14.9;13.13;13.87;15.32;16.76;15.33;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL82;NaN;15.78;13.92;13.77;14.2;9.53;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL84;790.8;827.13;924.25;918.72;895.05;881.97;930.82;938.71;952.38;959.8;992.8;1006.9;;;;;;;revised;;;;;
A2300F;dairy cows;THS_HD;PL84;438.9;448.67;476.61;464.94;441.38;448.9;431.62;427.07;428.1;416.9;427.1;442.8;;;;;;;;;;;;
A3100;pigs;THS_HD;PL84;708.1;577.76;569.99;564.39;467.41;360.3;341.64;333.07;330.34;320.6;295.3;317.6;;;;;;;;;;;;
A4100;sheep;THS_HD;PL84;20.6;16.41;17.28;17.03;18.47;20.48;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL84;NaN;4.7;6;5.95;2.52;4.01;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL91;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;57;63.4;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;PL91;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;22;25.8;;;;;;;;;;;;
A3100;pigs;THS_HD;PL91;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;34.8;27.9;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL92;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1065.3;1110.8;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;PL92;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;451;478.1;;;;;;;;;;;;
A3100;pigs;THS_HD;PL92;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1076.1;1135;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PT11;333.43;331.15;323.48;332.75;328.61;327.18;319.52;326.63;330.85;319.85;315.05;305.33;;;;;;;;;;provisional;;
A2300F;dairy cows;THS_HD;PT11;96.72;95.32;87.65;83.26;82.96;80.29;79.63;81.57;86.82;84.87;85.35;81.94;;;;;;;;;;provisional;;
A3100;pigs;THS_HD;PT11;87.93;85.93;82.83;78.65;62.18;60.19;53.23;66.77;65.5;60.77;60.51;67.67;;;;;;;;;;;;
A4100;sheep;THS_HD;PT11;448.5;427.02;407.15;401.34;369.38;359.35;342.01;323.03;306.82;310.24;297.14;282.73;;;;;;;;;;;;
A4200;goats;THS_HD;PT11;123.67;120.52;115.57;107.92;106.02;104.67;100.29;95.76;89.9;85.65;81.34;82.11;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PT15;8.99;8.78;7.93;8.54;8.88;9.35;9.59;10.27;10.27;10;9.87;8.81;;;;;;;;;;provisional;;
A2300F;dairy cows;THS_HD;PT15;0.13;0.09;0.08;0.08;0.08;0.07;0.06;0.06;0.06;0.08;0.08;0.07;;;;;;;;;;provisional;;
A3100;pigs;THS_HD;PT15;28.02;26.47;25.41;23.94;23.02;22.59;22.71;22.73;19.75;20.47;16.97;18.48;;;;;;;;;;;;
A4100;sheep;THS_HD;PT15;51.11;48.18;45.17;42.45;44.36;41.14;41.88;40.81;44.1;46.65;47.07;41.86;;;;;;;;;;;;
A4200;goats;THS_HD;PT15;17.11;14.92;15.72;15.1;14.19;13.41;15;14.22;17.45;15.95;15.59;15.91;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PT16;203.33;206.89;191.27;191.1;195.59;188.02;183.8;193.72;197.96;192.98;198.32;195.53;;;;;;;;;;provisional;;
A2300F;dairy cows;THS_HD;PT16;50.2;49.46;47.61;37.31;37;29.64;30.32;30.17;30.25;28.38;27.08;26.7;;;;;;;;;;provisional;;
A3100;pigs;THS_HD;PT16;921.23;914.4;915.2;759.9;802.59;835.59;822.12;867.75;930.01;876.7;886.31;904.09;;;;;;;;;;;;
A4100;sheep;THS_HD;PT16;628.76;590.04;544.86;564.84;533.59;484.41;477.77;468.68;472.07;509.88;505.56;470.73;;;;;;;;;;;;
A4200;goats;THS_HD;PT16;164.24;164.34;162.1;157.04;153.52;132.04;132.78;128.09;127.1;116.82;112.47;110.11;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PT17;52.18;53.56;50.85;47.78;48.53;55.5;52.88;54.05;56.79;76.89;88.02;75.34;;;;;;;;;;provisional;;
A2300F;dairy cows;THS_HD;PT17;7.44;7.33;7.06;5.7;5.66;7.4;7.84;8.01;8.88;8.9;8.82;8.94;;;;;;;;;;provisional;;
A3100;pigs;THS_HD;PT17;179.88;171.36;171.81;145.18;152.51;182.1;203.92;213.79;228.03;212.9;220.71;221.81;;;;;;;;;;;;
A4100;sheep;THS_HD;PT17;78.29;73.94;68.01;61.19;59.97;46.61;41.7;41.94;40.17;41.49;44.81;45.3;;;;;;;;;;;;
A4200;goats;THS_HD;PT17;6.26;6.27;6.42;8.86;8.74;7.72;7.28;8.23;8.4;8;8.72;7.95;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PT18;640.4;637.69;613.27;652.95;667.3;639.48;635.7;693.67;729.45;758.68;776.77;764.46;;;;;;;;;;provisional;;
A2300F;dairy cows;THS_HD;PT18;20.28;19.98;19.23;25.4;25.19;27.32;23.81;25.01;26.22;26.45;26.33;26.16;;;;;;;;;;provisional;;
A3100;pigs;THS_HD;PT18;700.48;692.77;692.38;850.58;892.18;876.46;878.49;922.69;968.84;947.97;946.91;955.71;;;;;;;;;;;;
A4100;sheep;THS_HD;PT18;1487.39;1411.92;1294.45;1148.23;1154.84;1152.5;1163.06;1150.78;1172.07;1333.27;1323.54;1360.75;;;;;;;;;;;;
A4200;goats;THS_HD;PT18;115.61;115.97;114.56;115.21;116.5;132.69;130.32;122.3;116.6;107.42;107.88;101.64;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PT20;248.61;251.34;254.19;264.37;265.1;273.09;264.62;266.57;276.81;272.91;278.19;279.26;;;;;;;;;;provisional;provisional;
A2300F;dairy cows;THS_HD;PT20;94.09;91.99;93.43;91.17;90.76;91.59;88.91;88.71;90.73;89.96;90.66;91.37;;;;;;;;;;provisional;provisional;
A3100;pigs;THS_HD;PT20;43.83;45.86;41.94;42.44;36.31;33.02;29.67;28.83;30.39;29.07;30.25;33.44;;;;;;;;provisional;;;provisional;
A4100;sheep;THS_HD;PT20;3.21;3.37;3.77;3.84;3.55;3.66;3.36;3.33;3.32;3.22;3.88;2.88;;;;;;;;;;;provisional;
A4200;goats;THS_HD;PT20;6.65;6.83;6.72;8.01;7.61;7.44;7.3;7.83;6.54;6.47;6.9;7.39;;;;;;;;;;;provisional;
A2000;bovine animals;THS_HD;PT30;4.56;5.88;5.53;5.27;5.1;4.93;4.38;3.7;3.73;3.7;3.8;3.68;;;;;;;;;;provisional;provisional;
A2300F;dairy cows;THS_HD;PT30;0.41;0.65;0.36;0.31;0.32;0.26;0.27;0.31;0.31;0.27;0.32;0.3;;;;;;;;;;provisional;provisional;
A3100;pigs;THS_HD;PT30;16.83;17.78;15;16.62;16.25;14.18;4.26;4.35;4.81;3.29;3.66;3.84;;;;;;;;;;;provisional;
A4100;sheep;THS_HD;PT30;5.87;3.79;4.47;4.38;4.22;4.04;3.87;4.06;4.06;4.12;3.54;2.9;;;;;;;provisional;;;;provisional;
A4200;goats;THS_HD;PT30;5.1;3.96;3.89;7.06;6.16;6.02;5.42;5.62;6.8;6.83;6.76;6.17;;;;;;;;;;;provisional;
A2000;bovine animals;THS_HD;RO11;453.7;413.1;405;348.1;347.7;348.9;351.5;366.9;369.1;373.4;366.2;365.3;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;RO11;262.6;241.4;235.9;211.1;209.1;219.8;218.1;219.3;219.1;221.8;216.7;213.8;;;;;;;;;;;;
A3100;pigs;THS_HD;RO11;885;844.2;753.4;687.4;681.1;678.3;680.9;675;663.7;624.5;564.1;526.5;;;;;;;;;;;;
A4100;sheep;THS_HD;RO11;1198.9;1306.5;1393.4;1335.3;1330.8;1373;1407;1610.4;1649.4;1668.9;1679.5;1709.9;;;;;;;;;;;;
A4200;goats;THS_HD;RO11;75.3;82.1;121.1;92.6;90.7;90.7;95;105;107.4;112.8;115.3;118;;;;;;;;;;;;
A2000;bovine animals;THS_HD;RO12;389.5;366.5;360.5;320.4;313.2;316.2;320.9;332.4;339.6;339.7;347.4;345.7;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;RO12;228.3;214.8;211.5;195.3;187.3;191.7;192.9;206.9;208.1;207.7;211.6;211.3;;;;;;;;;;;;
A3100;pigs;THS_HD;RO12;760.5;644.5;607.5;530.6;534.4;512.4;490;483.5;479.4;456.9;400.9;374.8;;;;;;;;;;;;
A4100;sheep;THS_HD;RO12;1692.7;1717.9;1785.1;1856.6;1931.6;1991.2;2047.1;2095.6;2117.9;2151.9;2292;2316.1;;;;;;;;;;;;
A4200;goats;THS_HD;RO12;82.4;85.7;130.6;109.4;105.8;113.2;117.5;125.1;130.6;134.6;139.2;141.7;;;;;;;;;;;;
A2000;bovine animals;THS_HD;RO21;698.6;690;651;506.1;510.8;515.3;524.5;530.2;533.8;511.8;499.7;486.5;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;RO21;366.3;355.1;342.9;279;276.1;277.1;284.3;283.9;285.4;280.1;274.9;269.6;;;;;;;;;;;;
A3100;pigs;THS_HD;RO21;806.2;743.3;693.6;571.5;580.5;551;558.4;548.5;525.6;488.4;458.4;447.5;;;;;;;;;;;;
A4100;sheep;THS_HD;RO21;1432.2;1566.3;1585.4;1240.4;1258.3;1296.7;1326.5;1369.7;1395.9;1403.2;1395.8;1431.1;;;;;;;;;;;;
A4200;goats;THS_HD;RO21;122;120;185.7;193.4;198.3;202.7;208.9;222.7;224.2;229.9;230.8;235.7;;;;;;;;;;;;
A2000;bovine animals;THS_HD;RO22;320.5;312.4;292.1;231.4;231.9;240.3;238.6;242.9;245.1;229.9;229.7;230.3;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;RO22;158.2;151.6;145.3;119.9;119.3;125.1;124.7;124.8;123.6;125.4;125.5;127.5;;;;;;;;;;;;
A3100;pigs;THS_HD;RO22;885.4;864.8;866.9;907.4;869.5;833.2;840.6;812.7;772.2;739.8;723.9;468.6;;;;;;;;;;;;
A4100;sheep;THS_HD;RO22;1490.5;1510;1503.4;1296.2;1303;1357.6;1401.1;1439.3;1508.6;1485.1;1494.1;1537.3;;;;;;;;;;;;
A4200;goats;THS_HD;RO22;208.7;221.7;361.5;307.9;317.2;320.8;328.5;361.7;367.8;371.8;377.8;390.4;;;;;;;;;;;;
A2000;bovine animals;THS_HD;RO31;399.7;371.6;342.1;238.7;237.7;234.5;232.4;235.3;241.8;233.8;225.7;215.5;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;RO31;243;224.9;216.6;158.4;155.8;144.4;143.4;144;143.7;141.5;140.5;134.7;;;;;;;;;;;;
A3100;pigs;THS_HD;RO31;1132;1045.6;978.1;949.1;948.4;928.3;913.8;893.5;885.3;832.7;753.8;649.6;;;;;;;;;;;;
A4100;sheep;THS_HD;RO31;823;893;927.7;788.8;812.7;832.8;864.9;884.1;935.5;934;959.9;974;;;;;;;;;;;;
A4200;goats;THS_HD;RO31;151.2;153.6;242.2;231.5;224.4;224.6;237.3;251.8;256.9;260.6;261.3;270;;;;;;;;;;;;
A2000;bovine animals;THS_HD;RO32;19.3;17.9;17.3;8.2;7.2;7.4;6.8;7.7;7;7.7;6.9;5.3;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;RO32;10.8;10.5;9.3;3.5;3.2;3.5;3.1;3.5;3.4;4.8;4.2;3.3;;;;;;;;;;;;
A3100;pigs;THS_HD;RO32;191.6;184.4;182.4;163.1;126.7;104.9;72.6;57;28.1;33.1;27.3;23.6;;;;;;;;;;;;
A4100;sheep;THS_HD;RO32;24;26.8;26.7;29.4;25.3;27.9;29;30.7;30.3;31.2;30.3;24.3;;;;;;;;;;;;
A4200;goats;THS_HD;RO32;8.8;9.6;11.4;7.9;8.9;10.8;11.5;12.9;12.1;13.5;13.5;12.3;;;;;;;;;;;;
A2000;bovine animals;THS_HD;RO41;315.8;304.8;259.4;195.7;196.7;193.6;194.1;196.1;196.5;191.9;178.2;173.2;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;RO41;173.5;165.1;150.5;117.8;112.9;110.2;110.8;113.6;115;115.6;109.1;105.1;;;;;;;;;;;;
A3100;pigs;THS_HD;RO41;936.1;915.5;792.3;693.9;690.9;670.7;652.2;625.7;620.5;588;558.3;520;;;;;;;;;;;;
A4100;sheep;THS_HD;RO41;671.3;717.8;715.9;600.8;610.4;618.7;633.8;657.2;679.3;685.8;668.6;686.6;;;;;;;;;;;;
A4200;goats;THS_HD;RO41;169.5;177.5;277;245;235.9;246.7;251.6;270.7;270.3;283.6;286.4;289.2;;;;;;;;;;;;
A2000;bovine animals;THS_HD;RO42;221.9;207.3;184.9;152.5;143.7;152.9;153.6;157.4;159.5;161.5;157.3;155.4;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;RO42;130.2;119.9;107;93.6;90.3;90.9;91.6;92.4;92.4;95.7;92.9;92.9;;;;;;;;;;;;
A3100;pigs;THS_HD;RO42;968.1;931.4;919.1;925.3;932.3;955.5;971.7;945.8;952.1;944.3;919.3;914.5;;;;;;;;;;;;
A4100;sheep;THS_HD;RO42;1136.6;1143.3;1203.9;1269.9;1261.3;1335.9;1426.2;1431.2;1492.6;1515.4;1461.6;1497.1;;;;;;;;;;;;
A4200;goats;THS_HD;RO42;47.2;48.1;69.3;53.1;54.9;56.2;62.7;67.3;70.9;76.3;79;82;;;;;;;;;;;;
A2000;bovine animals;THS_HD;RS11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;61.26;56.98;48.25;48;47;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;RS11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.21;25.79;20.92;21;19;;;;;;;;;;;;
A3100;pigs;THS_HD;RS11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;180.05;172.67;146.91;160;146;;;;;;;;;;;;
A4100;sheep;THS_HD;RS11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;80.5;77.27;52.25;59;73;;;;;;;;;;;;
A4200;goats;THS_HD;RS11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;6.81;11.35;7.59;8;9;;;;;;;;;;;;
A2000;bovine animals;THS_HD;RS12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;262.22;248.55;250.94;260;256;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;RS12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;85.46;79.53;97.67;99;89;;;;;;;;;;;;
A3100;pigs;THS_HD;RS12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1324.85;1342.46;1248.66;1220;1236;;;;;;;;;;;;
A4100;sheep;THS_HD;RS12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;243.15;231.41;275.28;301;291;;;;;;;;;;;;
A4200;goats;THS_HD;RS12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;53.61;52.65;45.01;46;48;;;;;;;;;;;;
A2000;bovine animals;THS_HD;RS21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;416.05;432;411.86;412;410;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;RS21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;230.27;228.95;206.43;210;214;;;;;;;;;;;;
A3100;pigs;THS_HD;RS21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1080.34;1128.25;1008.62;988;926;;;;;;;;;;;;
A4100;sheep;THS_HD;RS21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1064.96;1112.22;1030.45;1031;1050;;;;;;;;;;;;
A4200;goats;THS_HD;RS21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;69.04;62.68;69.49;52;70;;;;;;;;;;;;
A2000;bovine animals;THS_HD;RS22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;180.54;178.11;181.7;179;166;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;RS22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;95.03;95.25;100.93;98;95;;;;;;;;;;;;
A3100;pigs;THS_HD;RS22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;650.42;641;616.97;543;484;;;;;;;;;;;;
A4100;sheep;THS_HD;RS22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;359.5;368.25;306.92;312;298;;;;;;;;;;;;
A4200;goats;THS_HD;RS22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;89.14;76.14;78.06;76;69;;;;;;;;;;;;
A2000;bovine animals;THS_HD;SE11;22.2;20.21;20.03;18.95;17.95;17.34;16.54;16.3;16.11;16;16.44;15.23;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;SE11;4.5;3.32;4.27;3.81;3.77;3.53;3.27;3.15;3.11;2.91;2.87;2.53;;;;;;;;;;;;
A3100;pigs;THS_HD;SE11;11.9;15.81;10.32;13.89;13.58;12.19;14.98;14.91;8.9;10.86;10.65;27.68;;;;;;;;;;;;
A4100;sheep;THS_HD;SE11;18.3;13.49;18.99;20.45;21.46;22.27;21.13;21.62;23.03;19.17;22.05;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;SE11;NaN;0;0;NaN;0;NaN;NaN;NaN;NaN;NaN;0;NaN;;;;;;;;;;;not significant;
A2000;bovine animals;THS_HD;SE12;273.6;263.31;255.48;252.41;248.88;245.34;242.76;240.2;238.05;239.47;241.71;238.58;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;SE12;61.9;33.77;59.29;57.82;57.28;56.27;55.85;55.31;53.31;51.93;52.03;47.67;;;;;;;;;;;;
A3100;pigs;THS_HD;SE12;283.9;332.15;283.04;335.11;319.73;280.44;292.33;286.76;295.4;260.12;265.16;279.15;;;;;;;;;;;;
A4100;sheep;THS_HD;SE12;113.5;79.19;120.1;128.6;140.97;135.41;127.11;124.37;127.99;120.36;126.02;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;SE12;NaN;0;0;NaN;0;NaN;NaN;NaN;NaN;NaN;0;NaN;;;;;;;;;;;not significant;
A2000;bovine animals;THS_HD;SE21;397.5;394.66;392.61;390.79;385.08;385.01;389.02;390.62;388.19;389.66;391.91;386.64;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;SE21;100.7;39.87;100.57;99.25;99.63;99.54;99.96;100.01;96.97;93.27;93.96;92.01;;;;;;;;;;;;
A3100;pigs;THS_HD;SE21;154.4;180.73;163.43;170.27;153.88;147.58;150.08;152.44;135.2;135.1;131.82;124.38;;;;;;;;;;;;
A4100;sheep;THS_HD;SE21;136;94.03;134.65;146.62;167;161;154.58;159.79;155.64;158.62;167.76;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;SE21;NaN;0;0;NaN;0;NaN;NaN;NaN;NaN;NaN;0;NaN;;;;;;;;;;;not significant;
A2000;bovine animals;THS_HD;SE22;247.2;234.71;228.6;228.54;225.3;225.88;227.35;225.47;225.37;227.21;229.18;227.13;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;SE22;47.4;38.14;44.22;43.22;43.66;43.82;44.14;43.8;42.93;42.31;41.36;40.66;;;;;;;;;;;;
A3100;pigs;THS_HD;SE22;442.4;537.7;441.76;435.5;454.76;408.35;438.42;420.19;441;428.6;447.96;428.65;;;;;;;;;;;;
A4100;sheep;THS_HD;SE22;63.5;48.07;86.59;74.6;87.12;82.24;78.09;82.95;84.88;81.73;87.1;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;SE22;NaN;0;0;NaN;0;NaN;NaN;NaN;NaN;NaN;0;NaN;;;;;;;;;;;not significant;
A2000;bovine animals;THS_HD;SE23;357.4;344.18;340.5;338.2;334.24;335.54;335.88;334.23;334.26;337.02;340.59;341.65;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;SE23;90.1;35.9;86.85;85.36;84.87;84.57;85.03;84.46;84.36;82.08;80.53;79.62;;;;;;;;;;;;
A3100;pigs;THS_HD;SE23;429.2;519.21;502.86;463.86;446.42;422.57;415.1;410.34;389.9;421.77;429.41;429.02;;;;;;;;;;;;
A4100;sheep;THS_HD;SE23;93;73.44;90.37;104.81;109.31;113.9;106.98;107.38;111.78;113.52;115;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;SE23;NaN;0;0;NaN;0;NaN;NaN;NaN;NaN;NaN;0;NaN;;;;;;;;;;;not significant;
A2000;bovine animals;THS_HD;SE31;130.5;124.88;121.59;120.07;118.16;116.98;116.32;115.41;116.19;117.54;121.1;119.46;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;SE31;26.4;19.66;23.12;22.27;22.44;22.62;22.86;22.76;22.63;21.59;21.41;20.09;;;;;;;;;;;;
A3100;pigs;THS_HD;SE31;62.4;75.83;65.14;62.54;60.28;62.36;59.81;62.65;13.5;67.34;68.38;70.14;;;;;;;;;;;;
A4100;sheep;THS_HD;SE31;47.8;41.75;53.31;53.52;53.95;56.46;50.91;53.56;35.65;51.64;55.53;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;SE31;NaN;0;0;NaN;0;NaN;NaN;NaN;NaN;NaN;0;NaN;;;;;;;;;;;not significant;
A2000;bovine animals;THS_HD;SE32;66.9;60.65;60.64;61.5;60.35;58.84;57.29;56.92;55.07;54.98;53.76;53.39;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;SE32;17;8;15.39;15.92;15.51;14.91;14.52;14.61;14.17;13.91;13.22;12.96;;;;;;;;;;;;
A3100;pigs;THS_HD;SE32;7.5;9.87;7.26;8.12;7.73;6.46;6.09;7.39;4.7;6.27;5.88;7.54;;;;;;;;;;;;
A4100;sheep;THS_HD;SE32;18.5;12.47;15.19;18.89;22.27;19.73;19.81;18.73;19.56;17.92;15.62;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;SE32;NaN;0;0;NaN;0;NaN;NaN;NaN;NaN;NaN;0;NaN;;;;;;;;;;;not significant;
A2000;bovine animals;THS_HD;SE33;64.6;62.82;61.36;59.55;59.77;58.65;58.35;57.39;55.17;54.17;53.91;53.39;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;SE33;21.6;2.37;20.11;20.09;20.49;20.25;20.43;20.1;19.33;18.13;18.06;17.5;;;;;;;;;;;;
A3100;pigs;THS_HD;SE33;26.6;31.32;30.71;30.6;26.21;23.42;22.06;22.68;22.8;24.24;23.09;26.68;;;;;;;;;;;;
A4100;sheep;THS_HD;SE33;18.3;11.46;15.49;17.45;20.65;19.53;18.17;20.37;18.99;15.22;17;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;SE33;NaN;0;0;NaN;0;NaN;NaN;NaN;NaN;NaN;0;NaN;;;;;;;;;;;not significant;
A2000;bovine animals;THS_HD;SI01;328.8;318.25;320.87;319.41;314.66;313.17;313.43;NaN;NaN;NaN;NaN;NaN;;;;;;provisional;;;;;;
A2300F;dairy cows;THS_HD;SI01;79.3;79;75.98;73.72;75.14;76.75;73.57;NaN;NaN;NaN;NaN;NaN;;;;;;provisional;;;;;;
A3100;pigs;THS_HD;SI01;456.6;374.85;356.05;337.31;294.74;249.55;238.92;NaN;NaN;NaN;NaN;NaN;;;;;;provisional;;;;;;
A4100;sheep;THS_HD;SI01;94.7;97.61;92.35;NaN;82.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;SI01;16;13.61;15.65;NaN;13.8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;SI02;150.7;151.74;152.01;150.74;147.64;146.89;147.15;NaN;NaN;NaN;NaN;NaN;;;;;;provisional;;;;;;
A2300F;dairy cows;THS_HD;SI02;37.1;34.4;37.13;35.75;33.93;34.27;36;NaN;NaN;NaN;NaN;NaN;;;;;;provisional;;;;;;
A3100;pigs;THS_HD;SI02;85.9;57.16;59.18;58.29;52.57;46.55;49.43;NaN;NaN;NaN;NaN;NaN;;;;;;provisional;;;;;;
A4100;sheep;THS_HD;SI02;36.5;41.35;45.76;NaN;37.48;NaN;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
