Animals;Animal_description;Unit;NUTS2;THS_HD_2007;THS_HD_2008;THS_HD_2009;THS_HD_2010;THS_HD_2011;THS_HD_2012;THS_HD_2013;THS_HD_2014;THS_HD_2015;THS_HD_2016;THS_HD_2017;THS_HD_2018;data_quality_2007;data_quality_2008;data_quality_2009;data_quality_2010;data_quality_2011;data_quality_2012;data_quality_2013;data_quality_2014;data_quality_2015;data_quality_2016;data_quality_2017;data_quality_2018
A2000;bovine animals;THS_HD;MT00;19.4;17.8;16.26;14.95;15.07;15.59;15.22;14.88;15.02;14.36;14.18;14.12;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;MT00;7.6;7.3;6.93;6.36;6.31;6.32;6.33;6.5;6.37;6.5;6.14;6.23;;;;;;;;;;;;
A3100;pigs;THS_HD;MT00;76.9;NaN;65.92;69.28;46.29;45.21;49.45;47.25;43.63;40.6;34.01;36.29;;;;;;;;;;;;
A4100;sheep;THS_HD;MT00;12.3;NaN;12.89;12.38;11.89;11.7;10.93;10.53;11.08;11.52;11.74;13.17;;;;;;;;;;;;
A4200;goats;THS_HD;MT00;6.2;NaN;5.98;5.11;4.94;4.85;4.6;4.63;4.94;4.97;5.16;5.73;;;;;;;;;;;;
A2000;bovine animals;THS_HD;NL11;177;196;196;192;191;200;208;214;227;227;208;186;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;NL11;87;96;94;92;92;96;101;102;110;115;106;101;;;;;;;;;;;;
A3100;pigs;THS_HD;NL11;146.5;159;156;153;132;145;152;153;166;157;155;177;;;;provisional;;;;;;;;
A4100;sheep;THS_HD;NL11;108.6;102;86;94;89;93;87;93;81;84;84;62;;;;provisional;;;;;;;;
A4200;goats;THS_HD;NL11;10.6;11;11;10;8;7;8;9;8;9;9;8;;;;provisional;;;;;;;;
A2000;bovine animals;THS_HD;NL12;508;545;546;535;526;542;551;567;605;602;559;506;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;NL12;264.4;287;278;273;269;278;286;288;309;323;302;291;;;;;;;;;;;;
A3100;pigs;THS_HD;NL12;102.4;94;101;101;92;101;99;97;94;100;101;107;;;;provisional;;;;;;;;
A4100;sheep;THS_HD;NL12;257.6;232;202;224;201;198;200;186;175;180;182;139;;;;provisional;;;;;;;;
A4200;goats;THS_HD;NL12;15.9;14;17;17;17;16;16;16;19;20;21;19;;;;provisional;;;;;;;;
A2000;bovine animals;THS_HD;NL13;208.4;221;223;221;218;233;241;248;262;261;240;218;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;NL13;90.2;98;98;96;95;101;106;107;114;120;111;104;;;;;;;;;;;;
A3100;pigs;THS_HD;NL13;289;282;288;293;264;248;259;261;249;263;237;218;;;;provisional;;;;;;;;
A4100;sheep;THS_HD;NL13;58.7;59;53;59;56;57;56;59;58;54;55;40;;;;provisional;;;;;;;;
A4200;goats;THS_HD;NL13;9.6;12;12;10;12;15;14;15;15;16;18;18;;;;provisional;;;;;;;;
A2000;bovine animals;THS_HD;NL21;586.9;627;639;630;619;624;645;653;681;670;639;593;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;NL21;237.2;257;255;248;246;249;258;259;276;287;266;250;;;;;;;;;;;;
A3100;pigs;THS_HD;NL21;1600.3;1599;1641;1657;1617;1615;1623;1623;1654;1555;1570;1510;;;;provisional;;;;;;;;
A4100;sheep;THS_HD;NL21;102.1;89;79;88;79;78;77;78;75;76;74;58;;;;provisional;;;;;;;;
A4200;goats;THS_HD;NL21;41.2;47;55;54;53;55;56;60;60;65;74;73;;;;provisional;;;;;;;;
A2000;bovine animals;THS_HD;NL22;860.4;911;912;910;904;919;943;956;949;949;896;869;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;NL22;226.2;243;243;232;228;232;241;245;257;271;250;229;;;;;;;;;;;;
A3100;pigs;THS_HD;NL22;2186.8;2147;2150;2145;2076;1983;NaN;1967;1985;1823;1876;1826;;;;provisional;;;;;;;;
A4100;sheep;THS_HD;NL22;172.4;154;141;166;152;148;150;150;150;139;137;102;;;;provisional;;;;;;;;
A4200;goats;THS_HD;NL22;64.5;72;81;76;77;83;86;94;106;117;94;128;;;;provisional;;;;;;;;
A2000;bovine animals;THS_HD;NL23;60.8;64;63;65;63;65;68;71;78;78;72;65;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;NL23;28;31;29;31;30;32;34;33;38;39;36;33;;;;;;;;;;;;
A3100;pigs;THS_HD;NL23;62.7;64;73;68;69;68;63;72;56;52;49;48;;;;provisional;;;;;;;;
A4100;sheep;THS_HD;NL23;18.4;14;13;15;12;12;12;12;14;16;14;13;;;;provisional;;;;;;;;
A4200;goats;THS_HD;NL23;2.4;2;3;3;5;5;5;6;7;8;42;8;;;;provisional;;;;;;;;
A2000;bovine animals;THS_HD;NL31;197.3;208;205;199;193;193;201;201;214;208;195;178;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;NL31;84.7;90;88;85;83;84;86;86;91;95;88;82;;;;;;;;;;;;
A3100;pigs;THS_HD;NL31;292;297;289;294;281;274;255;250;264;240;267;258;;;;provisional;;;;;;;;
A4100;sheep;THS_HD;NL31;79.9;70;63;68;63;61;55;55;53;48;47;37;;;;provisional;;;;;;;;
A4200;goats;THS_HD;NL31;13.5;15;21;19;19;21;21;23;23;24;28;26;;;;provisional;;;;;;;;
A2000;bovine animals;THS_HD;NL32;152.2;161;159;157;155;158;161;166;178;178;166;146;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;NL32;78;83;81;79;79;82;83;84;90;95;88;86;;;;;;;;;;;;
A3100;pigs;THS_HD;NL32;28.5;23;22;22;21;20;26;26;27;20;23;21;;;;provisional;;;;;;;;
A4100;sheep;THS_HD;NL32;220.8;198;172;182;168;159;157;152;146;151;145;105;;;;provisional;;;;;;;;
A4200;goats;THS_HD;NL32;11.4;12;14;14;14;11;11;12;14;14;17;16;;;;provisional;;;;;;;;
A2000;bovine animals;THS_HD;NL33;187.9;194;194;188;187;187;190;196;206;205;188;168;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;NL33;99;104;103;98;98;98;101;101;106;110;103;99;;;;;;;;;;;;
A3100;pigs;THS_HD;NL33;135.4;138;136;130;125;116;121;117;120;115;125;122;;;;provisional;;;;;;;;
A4100;sheep;THS_HD;NL33;153.2;130;123;138;129;124;120;123;120;119;114;86;;;;provisional;;;;;;;;
A4200;goats;THS_HD;NL33;12;13;14;15;14;14;13;15;15;16;18;18;;;;provisional;;;;;;;;
A2000;bovine animals;THS_HD;NL34;49;52;52;52;54;54;55;59;60;61;57;50;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;NL34;16.5;18;18;18;18;19;21;22;23;25;23;22;;;;;;;;;;;;
A3100;pigs;THS_HD;NL34;75.6;64;62;61;51;59;55;52;53;57;57;49;;;;provisional;;;;;;;;
A4100;sheep;THS_HD;NL34;54.4;45;44;48;43;42;40;40;38;45;44;26;;;;provisional;;;;;;;;
A4200;goats;THS_HD;NL34;0.8;1;1;1;1;1;1;1;1;3;3;3;;;;provisional;;;;;;;;
A2000;bovine animals;THS_HD;NL41;633.9;670;664;665;657;665;676;688;702;701;667;584;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;NL41;209.3;227;224;216;216;220;230;231;246;258;238;207;;;;;;;;;;;;
A3100;pigs;THS_HD;NL41;5127.2;5205;5439;5493;5566;5665;NaN;5616;5861;5661;5949;5708;;;;provisional;;;;;;;;
A4100;sheep;THS_HD;NL41;100.4;84;78;89;83;82;81;81;82;85;80;52;;;;provisional;;;;;;;;
A4200;goats;THS_HD;NL41;114.4;127;149;130;141;137;138;149;159;165;171;149;;;;provisional;;;;;;;;
A2000;bovine animals;THS_HD;NL42;140.9;147;145;147;146;145;149;150;154;156;145;125;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;NL42;48;52;52;50;50;49;52;52;55;58;54;48;;;;;;;;;;;;
A3100;pigs;THS_HD;NL42;1616.3;1662;1751;1787;1808;1809;1815;1830;1923;1838;1887;1889;;;;provisional;;;;;;;;
A4100;sheep;THS_HD;NL42;42.9;37;36;41;40;40;39;40;41;42;40;24;;;;provisional;;;;;;;;
A4200;goats;THS_HD;NL42;27.6;31;35;28;32;39;40;40;42;47;53;51;;;;provisional;;;;;;;;
A2000;bovine animals;THS_HD;PL11;433.2;458.02;477.87;486.87;459.04;440.25;427.74;446.81;450.54;473.2;NaN;NaN;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;PL11;238.3;229.5;224.01;224.92;216.02;195.51;185.04;187.53;175.35;178.7;NaN;NaN;;;;;;;;;;;;
A3100;pigs;THS_HD;PL11;1297.1;1038.38;1197.39;1284.92;1139.57;993.22;925.26;982.95;903.83;1119.8;NaN;NaN;;;;;;;;;;;;
A4100;sheep;THS_HD;PL11;21.9;19.89;17.37;15.39;12.98;12.42;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL11;NaN;8.55;7.51;7.27;5.22;5.15;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL12;945.5;988.06;984;1001.07;974.53;985.96;1022.73;1043.96;1091.68;1098.5;NaN;NaN;;;;;;;revised;;;;;
A2300F;dairy cows;THS_HD;PL12;545.1;565.15;520.88;518.45;513.43;494.15;496.86;489.45;470.43;465.3;NaN;NaN;;;;;;;;;;;;
A3100;pigs;THS_HD;PL12;1931.4;1456.51;1366.83;1377.91;1178.89;912.13;942.92;946.05;895.21;934.4;NaN;NaN;;;;;;;;;;;;
A4100;sheep;THS_HD;PL12;12.4;7.69;5.43;5.78;5.8;5.83;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL12;NaN;9.23;7.87;6.84;6.47;6.1;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL21;244.1;214.95;187.53;186.32;167.26;178.83;167.56;166.4;169.69;178.1;162.6;172.5;;;;;;;revised;;;;;
A2300F;dairy cows;THS_HD;PL21;144.2;128.51;114.85;111.33;93.06;100.06;89.07;84;81.85;83.6;72.4;79.3;;;;;;;;;;;;
A3100;pigs;THS_HD;PL21;429.3;370.14;346.11;321.68;296.49;213.47;186.49;190.65;171.74;168.7;190.5;143.5;;;;;;;;;;;;
A4100;sheep;THS_HD;PL21;92.9;85.97;60.55;54.56;54.4;59.22;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL21;NaN;17.69;14.46;14.87;15.81;13.12;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL22;130.5;132.91;120.49;121.15;106.75;113.4;115.45;116.47;116.28;122.7;120.1;124.8;;;;;;;revised;;;;;
A2300F;dairy cows;THS_HD;PL22;56.8;58.15;50.2;48.8;42.42;44.52;44.65;45.2;40.23;42.1;40.9;42;;;;;;;;;;;;
A3100;pigs;THS_HD;PL22;394.7;331.76;316.57;323.01;287.43;275.72;255.72;249.04;184.93;243.6;241.2;214.5;;;;;;;;;;;;
A4100;sheep;THS_HD;PL22;18.2;16.01;11.87;12.09;10.46;11.17;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL22;NaN;18.23;15.33;19.13;9.01;4.57;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL31;370.6;396.57;369.22;345.85;351.37;361.68;361.48;346.01;362.8;371.8;NaN;NaN;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;PL31;197;205.24;182.48;165.81;162.65;158.07;149.91;140.11;128.16;126.5;NaN;NaN;;;;;;;;;;;;
A3100;pigs;THS_HD;PL31;1156.3;956.7;944.75;966.87;794.49;596.76;597.8;579.42;523.5;550.2;NaN;NaN;;;;;;;;;;;;
A4100;sheep;THS_HD;PL31;21.7;15.99;12.11;12.88;12.89;14.59;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL31;NaN;11.9;8.94;8.57;12.98;9.05;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL32;137.6;130.45;113.36;106.71;96.95;90.17;92.5;89.11;89.33;84.4;NaN;NaN;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;PL32;95.2;89.86;77.46;72.06;64.28;58.14;57.18;54.19;48.69;45.3;NaN;NaN;;;;;;;;;;;;
A3100;pigs;THS_HD;PL32;299.8;257.99;235.44;220.03;183.56;179.27;170.23;176.07;159.71;166.8;NaN;NaN;;;;;;;;;;;;
A4100;sheep;THS_HD;PL32;14.9;13.13;13.87;15.32;16.76;15.33;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL32;NaN;15.78;13.92;13.77;14.2;9.53;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL33;176.8;174.16;164.86;165.53;164.98;163.03;157.69;153.92;161.94;166.5;NaN;NaN;;;;;;;revised;;;;;
A2300F;dairy cows;THS_HD;PL33;93.8;90.71;83.68;81.21;72.8;67.48;60.14;55.74;55.31;51.5;NaN;NaN;;;;;;;;;;;;
A3100;pigs;THS_HD;PL33;457.9;372.97;373.91;383.51;299.38;221.42;218.85;232.57;205.5;209.5;NaN;NaN;;;;;;;;;;;;
A4100;sheep;THS_HD;PL33;3.1;3.47;3.32;3.17;2.61;2.27;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL33;NaN;7.05;5.92;6.12;5.04;6.23;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL34;790.8;827.13;924.25;918.72;895.05;881.97;930.82;938.71;952.38;959.8;NaN;NaN;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;PL34;438.9;448.67;476.61;464.94;441.38;448.9;431.62;427.07;428.1;416.9;NaN;NaN;;;;;;;;;;;;
A3100;pigs;THS_HD;PL34;708.1;577.76;569.99;564.39;467.41;360.3;341.64;333.07;330.34;320.6;NaN;NaN;;;;;;;;;;;;
A4100;sheep;THS_HD;PL34;20.6;16.41;17.28;17.03;18.47;20.48;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL34;NaN;4.7;6;5.95;2.52;4.01;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL41;751.1;793.7;814.78;823.91;851.09;861.59;860.29;884.05;911.99;1003.3;999.3;1030.8;;;;;;;revised;;;;;
A2300F;dairy cows;THS_HD;PL41;293.3;314.12;284.8;290.3;274.1;253.15;272.34;257.45;242.27;255.3;262.8;269.4;;;;;;;;;;;;
A3100;pigs;THS_HD;PL41;5216.2;4272.67;4225.8;4418.08;4137.19;3715.58;3938.22;4004.84;3888.92;3959.3;4266.8;3965.8;;;;;;;;;;;;
A4100;sheep;THS_HD;PL41;41.3;30.96;27.19;23.01;22.5;20.99;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL41;NaN;13.82;12.09;13.68;19.23;6.82;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL42;104.2;104.36;91.2;91.24;97.98;95.83;94.81;95.73;95.89;92.5;92.5;107;;;;;;;revised;;;;;
